symbol,name,sector,market_cap,change_pct
PG,Procter & Gamble,Consumer Staples,340177833262.4277,-0.9338220389073622
PGR,Progressive Corporation,Financials,133954282568.35938,0.552427556683468
PLD,Prologis,Real Estate,119164341193.71033,-0.6966554209035131
PRU,Prudential Financial,Financials,39030472804.82231,1.213837578496875
PEG,Public Service Enterprise Group,Utilities,40528806928.990295,0.8132589667882627
PTC,PTC Inc.,Information Technology,21402762834.55269,0.7301111826099523
PSA,Public Storage,Real Estate,48711162918.104004,-0.22821554919137468
PHM,PulteGroup,Consumer Discretionary,25405021995.689117,-1.200799830751898
PWR,Quanta Services,Industrials,69452216985.32983,0.0
QCOM,Qualcomm,Information Technology,188015750000.0,-0.4626793759611372
DGX,Quest Diagnostics,Health Care,20652111928.078552,0.0
Q,Qnity Electronics,Information Technology,17396965641.593094,3.456653672240142
RL,Ralph Lauren Corporation,Consumer Discretionary,21700864983.58911,-0.08935008506833628
RJF,Raymond James Financial,Financials,32455723369.891357,2.512756257867108
RTX,RTX Corporation,Industrials,230190427588.901,1.9204515695809399
O,Realty Income,Real Estate,53382130420.01816,-0.10329036518059397
REG,Regency Centers,Real Estate,12734476288.315132,-1.0437565505451187
REGN,Regeneron Pharmaceuticals,Health Care,76969841957.55121,0.35190500083118204
RF,Regions Financial Corporation,Financials,23708544218.99681,1.3931288568299023
RSG,Republic Services,Industrials,66920337715.43152,-0.4782461822207083
RMD,ResMed,Health Care,36841891714.692444,0.38179742513398773
RVTY,Revvity,Health Care,12004806940.725403,0.15979170260877854
HOOD,Robinhood Markets,Financials,122649356243.38669,2.052160990044679
ROK,Rockwell Automation,Industrials,45479713991.0,1.0315470522719006
ROL,"Rollins, Inc.",Industrials,29104797879.54523,-0.2309458794378186
ROP,Roper Technologies,Information Technology,47856140747.690125,-0.28818848144032505
ROST,Ross Stores,Consumer Discretionary,58249625014.84601,0.053371472305126406
RCL,Royal Caribbean Group,Consumer Discretionary,70698108198.06738,-2.457011344106635
SPGI,S&P Global,Financials,152205792599.4873,-0.267062383379605
